id;sequence
081955;1,2,24,1728,746496,1934917632,30091839012864,2807929681968365568,1572081206902992767287296,5280985496827154199640037916672,106440332834866049138191223105387495424,12872079797383178927229037635891253693013557248
000400;1,6,36,216,1296,7776,46656,279936,1679616,10077696,60466176,362797056,2176782336,13060694016,78364164096,470184984576,2821109907456,16926659444736,101559956668416,609359740010496,3656158440062976,21936950640377856,131621703842267136
060757;1,4,256,262144,4294967296,1125899906842624,4722366482869645213696,316912650057057350374175801344,340282366920938463463374607431768211456,5846006549323611672814739330865132078623730171904,1606938044258990275541962092341162602522202993782792835301376
196460;1,5,47,1193,113855,46857665,83540629607,629692415941433,19653639560140008575,2505063418700072099312705,1292764583816731772891346438887,2687238342732260436646020885678131993,22431974111110989403331425804893720873764255
290840;1,2,12,117,1584,27525,585108,14726411,428551616,14161828185,523952280900,21456869976135,963553844335536,47078974421716757,2486272976536821332,141118622400977894475,8566597074999702384384,553816179165426157329201,37985975117322654130568964
281997;0,4,216,20736,3200000,729000000,230539333248,96717311574016,51998697814228992,34867844010000000000,28531167061100000000000,27982542656501458535448576,32405578483833249047003529216,43752153272681450786889799450624
001189;0,1,3,9,25,75,231,763,2619,9495,35695,140151,568503,2390479,10349535,46206735,211799311,997313823,4809701439,23758664095,119952692895,618884638911,3257843882623,17492190577599,95680443760575,532985208200575,3020676745975551
101052;1,1,3,13,51,181,603,1933,6051,18661,57003,173053,523251,1577941,4750203,14283373,42915651,128878021,386896203,1161212893,3484687251,10456158901,31372671003,94126401613,282395982051,847221500581
085532;0,4,64,1296,32768,1000000,35831808,1475789056,68719476736,3570467226624,204800000000000,12855002631049216,876488338465357824,64509974703297150976,5097655355238390956032,430467210000000000000000,38685626227668133590597632
337527;1,1,11,427,60719,32596531,68021747591,561032498484067,18426501525211985279,2417021848422676355879011,1267517634087900247917422974151,2658372329655374477213702898696297427,22300537841216964110498789350509161482874399
