algorithm,sequence,domain.size,count,compilation.time,inference.time
greedy,a92440,10,2095105,1201,2
bfs,a47863,1,2,1045,4
bfs,a47863,2,6,1045,3
bfs,a47863,3,26,1045,3
bfs,a47863,4,162,1045,3
bfs,a47863,5,1442,1045,2
bfs,a47863,6,18306,1045,3
bfs,a47863,7,330626,1045,4
bfs,a47863,8,8488962,1045,3
bfs,a47863,9,309465602,1045,2
bfs,a47863,10,16011372546,1045,2
greedy,a165327,1,2,1300,5
greedy,a165327,2,9,1300,3
greedy,a165327,3,125,1300,2
greedy,a165327,4,6561,1300,3
greedy,a165327,5,1419857,1300,2
greedy,a165327,6,1291467969,1300,3
greedy,a165327,7,4902227890625,1300,3
greedy,a165327,8,76686282021340161,1300,3
greedy,a165327,9,4891005035897482905857,1300,3
greedy,a165327,10,1262332172765951010966606849,1300,3
greedy,a326555,1,5,1163,5
greedy,a326555,2,169,1163,3
greedy,a326555,3,42875,1163,2
greedy,a326555,4,88529281,1163,3
greedy,a326555,5,1572763671875,1163,3
greedy,a326555,6,248679006649044049,1163,3
greedy,a326555,7,356333757516508153671875,1163,3
greedy,a326555,8,4663869092837765297703279248641,1163,3
greedy,a326555,9,558720643076358108093837582958513671875,1163,3
greedy,a326555,10,612058887069969285456490153219530731912451357649,1163,3
bfs,a145641,1,5,2493,5
bfs,a145641,2,51,2493,3
bfs,a145641,3,455,2493,3
bfs,a145641,4,3855,2493,3
bfs,a145641,5,31775,2493,3
bfs,a145641,6,258111,2493,2
bfs,a145641,7,2080895,2493,2
bfs,a145641,8,16711935,2493,3
bfs,a145641,9,133956095,2493,3
bfs,a145641,10,1072694271,2493,2
bfs,a326555,1,5,1214,5
bfs,a326555,2,169,1214,3
bfs,a326555,3,42875,1214,3
bfs,a326555,4,88529281,1214,3
bfs,a326555,5,1572763671875,1214,3
bfs,a326555,6,248679006649044049,1214,3
bfs,a326555,7,356333757516508153671875,1214,3
bfs,a326555,8,4663869092837765297703279248641,1214,16
bfs,a326555,9,558720643076358108093837582958513671875,1214,3
bfs,a326555,10,612058887069969285456490153219530731912451357649,1214,3
greedy,a145641,1,5,1192,5
greedy,a145641,2,51,1192,3
greedy,a145641,3,455,1192,3
greedy,a145641,4,3855,1192,4
greedy,a145641,5,31775,1192,3
greedy,a145641,6,258111,1192,2
greedy,a145641,7,2080895,1192,2
greedy,a145641,8,16711935,1192,3
greedy,a145641,9,133956095,1192,3
greedy,a145641,10,1072694271,1192,3
greedy,a5056,1,4,1001,4
greedy,a5056,2,12,1001,3
greedy,a5056,3,34,1001,2
greedy,a5056,4,96,1001,2
greedy,a5056,5,274,1001,2
greedy,a5056,6,792,1001,2
greedy,a5056,7,2314,1001,2
greedy,a5056,8,6816,1001,2
greedy,a5056,9,20194,1001,2
greedy,a5056,10,60072,1001,2
greedy,a155612,1,5,1665,6
greedy,a155612,2,41,1665,4
greedy,a155612,3,317,1665,4
greedy,a155612,4,2321,1665,4
greedy,a155612,5,16565,1665,4
greedy,a155612,6,116921,1665,4
greedy,a155612,7,821357,1665,4
greedy,a155612,8,5758241,1665,3
greedy,a155612,9,40333925,1665,3
greedy,a155612,10,282416201,1665,3
bfs,a62971,1,1,3428,5
bfs,a62971,2,16,3428,3
bfs,a62971,3,216,3428,2
bfs,a62971,4,4096,3428,3
bfs,a62971,5,100000,3428,3
bfs,a62971,6,2985984,3428,2
bfs,a62971,7,105413504,3428,3
bfs,a62971,8,4294967296,3428,13
bfs,a62971,9,198359290368,3428,4
bfs,a62971,10,10240000000000,3428,3
bfs,a60757,1,4,1079,4
bfs,a60757,2,256,1079,2
bfs,a60757,3,262144,1079,2
bfs,a60757,4,4294967296,1079,2
bfs,a60757,5,1125899906842624,1079,2
bfs,a60757,6,4722366482869645213696,1079,3
bfs,a60757,7,316912650057057350374175801344,1079,3
bfs,a60757,8,340282366920938463463374607431768211456,1079,3
bfs,a60757,9,5846006549323611672814739330865132078623730171904,1079,3
bfs,a60757,10,1606938044258990275541962092341162602522202993782792835301376,1079,4
greedy,a20540,1,4,963,4
greedy,a20540,2,56,963,2
greedy,a20540,3,496,963,2
greedy,a20540,4,4064,963,2
greedy,a20540,5,32704,963,11
greedy,a20540,6,262016,963,3
greedy,a20540,7,2096896,963,2
greedy,a20540,8,16776704,963,2
greedy,a20540,9,134216704,963,2
greedy,a20540,10,1073739776,963,2
greedy,a244,1,3,978,4
greedy,a244,2,9,978,3
greedy,a244,3,27,978,3
greedy,a244,4,81,978,3
greedy,a244,5,243,978,2
greedy,a244,6,729,978,2
greedy,a244,7,2187,978,3
greedy,a244,8,6561,978,3
greedy,a244,9,19683,978,3
greedy,a244,10,59049,978,2
bfs,a400,1,6,1419,12
bfs,a400,2,36,1419,3
bfs,a400,3,216,1419,2
bfs,a400,4,1296,1419,2
bfs,a400,5,7776,1419,2
bfs,a400,6,46656,1419,2
bfs,a400,7,279936,1419,4
bfs,a400,8,1679616,1419,2
bfs,a400,9,10077696,1419,2
bfs,a400,10,60466176,1419,2
bfs,a88668,1,6,21555,5
bfs,a88668,2,112,21555,3
bfs,a88668,3,7680,21555,3
bfs,a88668,4,2031616,21555,4
bfs,a88668,5,2113929216,21555,4
bfs,a88668,6,8727373545472,21555,3
bfs,a88668,7,143552238122434560,21555,3
bfs,a88668,8,9426286221665580875776,21555,4
bfs,a88668,9,2473462226931531291448836096,21555,3
bfs,a88668,10,2594880778667185584863751461404672,21555,3
greedy,a53763,1,1,1035,18
greedy,a53763,2,4,1035,3
greedy,a53763,3,64,1035,3
greedy,a53763,4,4096,1035,3
greedy,a53763,5,1048576,1035,5
greedy,a53763,6,1073741824,1035,3
greedy,a53763,7,4398046511104,1035,3
greedy,a53763,8,72057594037927936,1035,3
greedy,a53763,9,4722366482869645213696,1035,3
greedy,a53763,10,1237940039285380274899124224,1035,3
greedy,a191341,1,3,1211,6
greedy,a191341,2,11,1211,3
greedy,a191341,3,51,1211,3
greedy,a191341,4,227,1211,2
greedy,a191341,5,963,1211,2
greedy,a191341,6,3971,1211,2
greedy,a191341,7,16131,1211,2
greedy,a191341,8,65027,1211,2
greedy,a191341,9,261123,1211,2
greedy,a191341,10,1046531,1211,2
greedy,a337851,1,4,1078,5
greedy,a337851,2,36,1078,3
greedy,a337851,3,1000,1078,3
greedy,a337851,4,104976,1078,2
greedy,a337851,5,45435424,1078,2
greedy,a337851,6,82653950016,1078,3
greedy,a337851,7,627485170000000,1078,2
greedy,a337851,8,19631688197463081216,1078,3
greedy,a337851,9,2504194578379511247798784,1078,2
greedy,a337851,10,1292628144912333835229805413376,1078,2
bfs,a155629,1,5,1859,5
bfs,a155629,2,49,1859,3
bfs,a155629,3,449,1859,3
bfs,a155629,4,3841,1859,3
bfs,a155629,5,31745,1859,3
bfs,a155629,6,258049,1859,3
bfs,a155629,7,2080769,1859,4
bfs,a155629,8,16711681,1859,3
bfs,a155629,9,133955585,1859,4
bfs,a155629,10,1072693249,1859,3
bfs,a55601,1,1,1139,4
bfs,a55601,2,9,1139,3
bfs,a55601,3,343,1139,2
bfs,a55601,4,50625,1139,2
bfs,a55601,5,28629151,1139,2
bfs,a55601,6,62523502209,1139,2
bfs,a55601,7,532875860165503,1139,2
bfs,a55601,8,17878103347812890625,1139,2
bfs,a55601,9,2375680873491867011912191,1139,2
bfs,a55601,10,1255325460068093790930770843649,1139,3
greedy,a93069,1,7,1130,4
greedy,a93069,2,23,1130,11
greedy,a93069,3,79,1130,12
greedy,a93069,4,287,1130,3
greedy,a93069,5,1087,1130,3
greedy,a93069,6,4223,1130,3
greedy,a93069,7,16639,1130,3
greedy,a93069,8,66047,1130,2
greedy,a93069,9,263167,1130,2
greedy,a93069,10,1050623,1130,2
bfs,a83319,1,5,1591,5
bfs,a83319,2,21,1591,3
bfs,a83319,3,83,1591,3
bfs,a83319,4,321,1591,3
bfs,a83319,5,1235,1591,3
bfs,a83319,6,4761,1591,3
bfs,a83319,7,18443,1591,2
bfs,a83319,8,71841,1591,3
bfs,a83319,9,281315,1591,3
bfs,a83319,10,1106601,1591,3
bfs,a212850,1,1,2667,5
bfs,a212850,2,19,2667,3
bfs,a212850,3,163,2667,3
bfs,a212850,4,1135,2667,3
bfs,a212850,5,7291,2667,3
bfs,a212850,6,45199,2667,5
bfs,a212850,7,275563,2667,4
bfs,a212850,8,1666495,2667,4
bfs,a212850,9,10038331,2667,5
bfs,a212850,10,60348079,2667,5
bfs,a243918,1,4,1382,5
bfs,a243918,2,32,1382,3
bfs,a243918,3,814,1382,2
bfs,a243918,4,86600,1382,3
bfs,a243918,5,39560554,1382,2
bfs,a243918,6,75654970772,1382,2
bfs,a243918,7,594996059517934,1382,2
bfs,a243918,8,19035905851947436400,1382,2
bfs,a243918,9,2460857798358946973785234,1382,3
bfs,a243918,10,1280109151917797032199865564812,1382,3
greedy,a79,1,2,925,5
greedy,a79,2,4,925,2
greedy,a79,3,8,925,2
greedy,a79,4,16,925,3
greedy,a79,5,32,925,3
greedy,a79,6,64,925,2
greedy,a79,7,128,925,2
greedy,a79,8,256,925,2
greedy,a79,9,512,925,3
greedy,a79,10,1024,925,3
greedy,a58481,1,1,986,5
greedy,a58481,2,7,986,3
greedy,a58481,3,25,986,3
greedy,a58481,4,79,986,3
greedy,a58481,5,241,986,2
greedy,a58481,6,727,986,6
greedy,a58481,7,2185,986,8
greedy,a58481,8,6559,986,2
greedy,a58481,9,19681,986,2
greedy,a58481,10,59047,986,2
bfs,a202991,1,1,1464,5
bfs,a202991,2,49,1464,3
bfs,a202991,3,15625,1464,3
bfs,a202991,4,38950081,1464,3
bfs,a202991,5,812990017201,1464,2
bfs,a202991,6,147640825624179889,1464,2
bfs,a202991,7,237771659632917369765625,1464,2
bfs,a202991,8,3425319186561140076700951192321,1464,3
bfs,a202991,9,443021141828981570872668681812345111521,1464,3
bfs,a202991,10,515202988063835984513918825523304657054713360049,1464,2
bfs,a83323,1,2,1514,6
bfs,a83323,2,6,1514,3
bfs,a83323,3,20,1514,4
bfs,a83323,4,66,1514,3
bfs,a83323,5,212,1514,3
bfs,a83323,6,666,1514,3
bfs,a83323,7,2060,1514,3
bfs,a83323,8,6306,1514,3
bfs,a83323,9,19172,1514,3
bfs,a83323,10,58026,1514,3
greedy,a202989,1,4,988,4
greedy,a202989,2,100,988,2
greedy,a202989,3,21952,988,3
greedy,a202989,4,45212176,988,2
greedy,a202989,5,864866612224,988,3
greedy,a202989,6,151334226289000000,988,3
greedy,a202989,7,240066313618039143841792,988,3
greedy,a202989,8,3437872835498096514323500400896,988,3
greedy,a202989,9,443629285048033016198674962874808664064,988,3
greedy,a202989,10,515464807019389919369209932597753906250000000000,988,3
greedy,a85350,1,5,1374,5
greedy,a85350,2,23,1374,3
greedy,a85350,3,101,1374,2
greedy,a85350,4,431,1374,2
greedy,a85350,5,1805,1374,3
greedy,a85350,6,7463,1374,5
greedy,a85350,7,30581,1374,5
greedy,a85350,8,124511,1374,3
greedy,a85350,9,504605,1374,3
greedy,a85350,10,2038103,1374,3
greedy,a243918,1,4,1130,5
greedy,a243918,2,32,1130,2
greedy,a243918,3,814,1130,2
greedy,a243918,4,86600,1130,2
greedy,a243918,5,39560554,1130,2
greedy,a243918,6,75654970772,1130,2
greedy,a243918,7,594996059517934,1130,2
greedy,a243918,8,19035905851947436400,1130,2
greedy,a243918,9,2460857798358946973785234,1130,2
greedy,a243918,10,1280109151917797032199865564812,1130,2
bfs,a173403,1,1,3079,6
bfs,a173403,2,13,3079,5
bfs,a173403,3,469,3079,4
bfs,a173403,4,63577,3079,4
bfs,a173403,5,33231721,3079,3
bfs,a173403,6,68519123173,3079,3
bfs,a173403,7,562469619451069,3079,3
bfs,a173403,8,18442242396353040817,3079,3
bfs,a173403,9,2417685638793025070212561,3079,3
bfs,a173403,10,1267626422541873052658376446653,3079,3
bfs,a48291,1,1,1150,6
bfs,a48291,2,7,1150,3
bfs,a48291,3,265,1150,3
bfs,a48291,4,41503,1150,3
bfs,a48291,5,24997921,1150,3
bfs,a48291,6,57366997447,1150,3
bfs,a48291,7,505874809287625,1150,4
bfs,a48291,8,17343602252913832063,1150,3
bfs,a48291,9,2334958727565749108488321,1150,3
bfs,a48291,10,1243237913592275536716800402887,1150,3
bfs,a27,1,1,1115,4
bfs,a27,2,2,1115,3
bfs,a27,3,3,1115,3
bfs,a27,4,4,1115,3
bfs,a27,5,5,1115,3
bfs,a27,6,6,1115,2
bfs,a27,7,7,1115,2
bfs,a27,8,8,1115,3
bfs,a27,9,9,1115,2
bfs,a27,10,10,1115,2
bfs,a5019,1,1,1818,5
bfs,a5019,2,7,1818,3
bfs,a5019,3,169,1818,3
bfs,a5019,4,14911,1818,3
bfs,a5019,5,4925281,1818,3
bfs,a5019,6,6195974527,1818,3
bfs,a5019,7,30074093255809,1818,3
bfs,a5019,8,568640725896660991,1818,3
bfs,a5019,9,42170765737391337500161,1818,3
bfs,a5019,10,12325140160135610565932361727,1818,3
bfs,a165327,1,2,1110,5
bfs,a165327,2,9,1110,3
bfs,a165327,3,125,1110,2
bfs,a165327,4,6561,1110,2
bfs,a165327,5,1419857,1110,3
bfs,a165327,6,1291467969,1110,3
bfs,a165327,7,4902227890625,1110,2
bfs,a165327,8,76686282021340161,1110,3
bfs,a165327,9,4891005035897482905857,1110,3
bfs,a165327,10,1262332172765951010966606849,1110,3
bfs,a180602,1,3,1037,4
bfs,a180602,2,49,1037,3
bfs,a180602,3,3375,1037,2
bfs,a180602,4,923521,1037,2
bfs,a180602,5,992436543,1037,2
bfs,a180602,6,4195872914689,1037,2
bfs,a180602,7,70110209207109375,1037,2
bfs,a180602,8,4649081944211090042881,1037,2
bfs,a180602,9,1227102111503512992112190463,1037,2
bfs,a180602,10,1291749870339606615892191271170049,1037,3
bfs,a267816,1,3,1406,5
bfs,a267816,2,23,1406,2
bfs,a267816,3,111,1406,2
bfs,a267816,4,479,1406,2
bfs,a267816,5,1983,1406,3
bfs,a267816,6,8063,1406,2
bfs,a267816,7,32511,1406,2
bfs,a267816,8,130559,1406,3
bfs,a267816,9,523263,1406,3
bfs,a267816,10,2095103,1406,3
greedy,a83320,1,6,1153,4
greedy,a83320,2,32,1153,3
greedy,a83320,3,162,1153,3
greedy,a83320,4,800,1153,2
greedy,a83320,5,3906,1153,3
greedy,a83320,6,18992,1153,3
greedy,a83320,7,92322,1153,3
greedy,a83320,8,449600,1153,2
greedy,a83320,9,2195586,1153,2
greedy,a83320,10,10755152,1153,3
greedy,a83323,1,2,1214,5
greedy,a83323,2,6,1214,2
greedy,a83323,3,20,1214,2
greedy,a83323,4,66,1214,3
greedy,a83323,5,212,1214,2
greedy,a83323,6,666,1214,2
greedy,a83323,7,2060,1214,3
greedy,a83323,8,6306,1214,2
greedy,a83323,9,19172,1214,2
greedy,a83323,10,58026,1214,3
bfs,a128406,1,1,1158,5
bfs,a128406,2,8,1158,2
bfs,a128406,3,192,1158,2
bfs,a128406,4,16384,1158,3
bfs,a128406,5,5242880,1158,2
bfs,a128406,6,6442450944,1158,2
bfs,a128406,7,30786325577728,1158,2
bfs,a128406,8,576460752303423488,1158,2
bfs,a128406,9,42501298345826806923264,1158,4
bfs,a128406,10,12379400392853802748991242240,1158,3
greedy,a136516,1,3,1173,5
greedy,a136516,2,25,1173,3
greedy,a136516,3,729,1173,2
greedy,a136516,4,83521,1173,2
greedy,a136516,5,39135393,1173,3
greedy,a136516,6,75418890625,1173,2
greedy,a136516,7,594467302491009,1173,3
greedy,a136516,8,19031147999601100801,1173,3
greedy,a136516,9,2460686496619787545743873,1173,3
greedy,a136516,10,1280084544196357822418212890625,1173,2
bfs,a420,1,7,959,4
bfs,a420,2,49,959,2
bfs,a420,3,343,959,2
bfs,a420,4,2401,959,2
bfs,a420,5,16807,959,2
bfs,a420,6,117649,959,2
bfs,a420,7,823543,959,3
bfs,a420,8,5764801,959,2
bfs,a420,9,40353607,959,2
bfs,a420,10,282475249,959,2
bfs,a53763,1,1,884,5
bfs,a53763,2,4,884,3
bfs,a53763,3,64,884,3
bfs,a53763,4,4096,884,3
bfs,a53763,5,1048576,884,3
bfs,a53763,6,1073741824,884,3
bfs,a53763,7,4398046511104,884,3
bfs,a53763,8,72057594037927936,884,3
bfs,a53763,9,4722366482869645213696,884,3
bfs,a53763,10,1237940039285380274899124224,884,3
bfs,a324306,1,2,1209,6
bfs,a324306,2,14,1209,3
bfs,a324306,3,464,1209,3
bfs,a324306,4,62498,1209,2
bfs,a324306,5,32904512,1209,2
bfs,a324306,6,68218246274,1209,3
bfs,a324306,7,561509337384704,1209,4
bfs,a324306,8,18430991691638470658,1209,3
bfs,a324306,9,2417187707139291150820352,1209,3
bfs,a324306,10,1267541805135644381508133312514,1209,3
bfs,a230879,1,2,18580,5
bfs,a230879,2,56,18580,3
bfs,a230879,3,16064,18580,2
bfs,a230879,4,39156608,18580,2
bfs,a230879,5,813732073472,18580,2
bfs,a230879,6,147662286695991296,18580,3
bfs,a230879,7,237776857718965784182784,18580,2
bfs,a230879,8,3425329990022686416530808209408,18580,2
bfs,a230879,9,443021337239562368918979788606843912192,18580,3
bfs,a230879,10,515203019085226443540506018909263027730003787776,18580,4
greedy,a128406,1,1,1141,4
greedy,a128406,2,8,1141,2
greedy,a128406,3,192,1141,3
greedy,a128406,4,16384,1141,3
greedy,a128406,5,5242880,1141,3
greedy,a128406,6,6442450944,1141,3
greedy,a128406,7,30786325577728,1141,3
greedy,a128406,8,576460752303423488,1141,3
greedy,a128406,9,42501298345826806923264,1141,3
greedy,a128406,10,12379400392853802748991242240,1141,3
bfs,a251183,1,2,1319,4
bfs,a251183,2,20,1319,3
bfs,a251183,3,662,1319,3
bfs,a251183,4,80744,1319,3
bfs,a251183,5,38724842,1319,3
bfs,a251183,6,75185316860,1319,2
bfs,a251183,7,593940189201662,1319,4
bfs,a251183,8,19026394370724334544,1319,3
bfs,a251183,9,2460515237682283759296722,1319,3
bfs,a251183,10,1280059938187721964276628432100,1319,3
greedy,a47863,1,2,975,5
greedy,a47863,2,6,975,3
greedy,a47863,3,26,975,3
greedy,a47863,4,162,975,2
greedy,a47863,5,1442,975,3
greedy,a47863,6,18306,975,3
greedy,a47863,7,330626,975,3
greedy,a47863,8,8488962,975,3
greedy,a47863,9,309465602,975,3
greedy,a47863,10,16011372546,975,3
greedy,a400,1,6,1177,4
greedy,a400,2,36,1177,2
greedy,a400,3,216,1177,2
greedy,a400,4,1296,1177,2
greedy,a400,5,7776,1177,2
greedy,a400,6,46656,1177,2
greedy,a400,7,279936,1177,3
greedy,a400,8,1679616,1177,3
greedy,a400,9,10077696,1177,3
greedy,a400,10,60466176,1177,3
greedy,a212850,1,1,1283,4
greedy,a212850,2,19,1283,2
greedy,a212850,3,163,1283,3
greedy,a212850,4,1135,1283,4
greedy,a212850,5,7291,1283,3
greedy,a212850,6,45199,1283,4
greedy,a212850,7,275563,1283,3
greedy,a212850,8,1666495,1283,3
greedy,a212850,9,10038331,1283,2
greedy,a212850,10,60348079,1283,2
greedy,a27649,1,4,926,4
greedy,a27649,2,14,926,3
greedy,a27649,3,46,926,5
greedy,a27649,4,146,926,3
greedy,a27649,5,454,926,3
greedy,a27649,6,1394,926,2
greedy,a27649,7,4246,926,2
greedy,a27649,8,12866,926,2
greedy,a27649,9,38854,926,2
greedy,a27649,10,117074,926,3
greedy,a155629,1,5,1704,4
greedy,a155629,2,49,1704,3
greedy,a155629,3,449,1704,3
greedy,a155629,4,3841,1704,2
greedy,a155629,5,31745,1704,3
greedy,a155629,6,258049,1704,2
greedy,a155629,7,2080769,1704,3
greedy,a155629,8,16711681,1704,3
greedy,a155629,9,133955585,1704,3
greedy,a155629,10,1072693249,1704,3
bfs,a135160,1,6,1220,5
bfs,a135160,2,30,1220,3
bfs,a135160,3,144,1220,3
bfs,a135160,4,690,1220,3
bfs,a135160,5,3336,1220,3
bfs,a135160,6,16290,1220,2
bfs,a135160,7,80184,1220,3
bfs,a135160,8,396930,1220,3
bfs,a135160,9,1972296,1220,3
bfs,a135160,10,9823650,1220,2
greedy,a155602,1,6,1158,5
greedy,a155602,2,24,1158,3
greedy,a155602,3,90,1158,2
greedy,a155602,4,336,1158,3
greedy,a155602,5,1266,1158,2
greedy,a155602,6,4824,1158,2
greedy,a155602,7,18570,1158,3
greedy,a155602,8,72096,1158,3
greedy,a155602,9,281826,1158,2
greedy,a155602,10,1107624,1158,3
bfs,a11557,1,10,1501,4
bfs,a11557,2,100,1501,4
bfs,a11557,3,1000,1501,2
bfs,a11557,4,10000,1501,2
bfs,a11557,5,100000,1501,2
bfs,a11557,6,1000000,1501,2
bfs,a11557,7,10000000,1501,4
bfs,a11557,8,100000000,1501,3
bfs,a11557,9,1000000000,1501,3
bfs,a11557,10,10000000000,1501,2
greedy,a59153,1,4,1128,7
greedy,a59153,2,24,1128,2
greedy,a59153,3,112,1128,2
greedy,a59153,4,480,1128,2
greedy,a59153,5,1984,1128,2
greedy,a59153,6,8064,1128,2
greedy,a59153,7,32512,1128,2
greedy,a59153,8,130560,1128,2
greedy,a59153,9,523264,1128,2
greedy,a59153,10,2095104,1128,2
greedy,a196460,1,5,985,8
greedy,a196460,2,47,985,3
greedy,a196460,3,1193,985,2
greedy,a196460,4,113855,985,2
greedy,a196460,5,46857665,985,2
greedy,a196460,6,83540629607,985,2
greedy,a196460,7,629692415941433,985,3
greedy,a196460,8,19653639560140008575,985,3
greedy,a196460,9,2505063418700072099312705,985,3
greedy,a196460,10,1292764583816731772891346438887,985,3
bfs,a20515,1,3,1307,4
bfs,a20515,2,13,1307,2
bfs,a20515,3,57,1307,2
bfs,a20515,4,241,1307,2
bfs,a20515,5,993,1307,2
bfs,a20515,6,4033,1307,2
bfs,a20515,7,16257,1307,2
bfs,a20515,8,65281,1307,3
bfs,a20515,9,261633,1307,2
bfs,a20515,10,1047553,1307,2
bfs,a155599,1,7,1726,6
bfs,a155599,2,61,1726,4
bfs,a155599,3,505,1726,3
bfs,a155599,4,4081,1726,3
bfs,a155599,5,32737,1726,3
bfs,a155599,6,262081,1726,7
bfs,a155599,7,2097025,1726,3
bfs,a155599,8,16776961,1726,3
bfs,a155599,9,134217217,1726,3
bfs,a155599,10,1073740801,1726,3
greedy,a60757,1,4,1020,4
